Food Code,Food Name,Rasa,Guna (Physical),Guna (Mental),Virya,Vipaka,Prabhava,Vata Effect,Pitta Effect,Kapha Effect
ASC001,Hot tea (Garam Chai),katu,laghu/snigdha,rajovardhan,ushna,katu,stimulant,increase,increase,decrease
ASC002,Instant coffee,katu,laghu/ushna,rajovardhan,ushna,katu,energizing,increase,increase,decrease
ASC003,Espresso coffee,katu,laghu/ushna,rajovardhan,ushna,katu,intense stimulant,increase,increase,decrease
ASC004,Iced tea,katu,laghu/sheeta,tamovardhan,sheeta,amla,cooling refreshing,neutral,decrease,neutral
ASC005,Raw mango drink (Aam panna),amla,guru/snigdha,rajovardhan,ushna,amla,digestive aid cooling,decrease,increase,increase
ASC006,Fruit Punch (with fresh juices),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nourishing tonic,decrease,decrease,increase
ASC007,Fruit Punch (with squashes),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,sweet tonic,decrease,decrease,increase
ASC008,Lemonade,amla,laghu/ruksha,rajovardhan,sheeta,amla,digestive detoxifying,decrease,decrease,increase
ASC009,Lem-o-gin,amla/katu,laghu/ushna,rajovardhan,ushna,amla,detoxifying warming,increase,neutral,decrease
ASC010,Cumin infused water (Jeere ka pani),katu,laghu/ushna,sattvavardhan,ushna,katu,digestive stimulant,increase,neutral,decrease
ASC011,Coco pine cooler,madhura,snigdha/sheeta,sattvavardhan,sheeta,madhura,cooling hydrating,decrease,decrease,increase
ASC012,Summer cooler,madhura,snigdha/sheeta,sattvavardhan,sheeta,madhura,refreshing cooling,decrease,decrease,increase
ASC014,Hot cocoa,madhura,guru/snigdha,sattvavardhan,ushna,madhura,comforting warming,neutral,neutral,increase
ASC015,Cold coffee with ice cream,madhura,snigdha/sheeta,rajovardhan,sheeta,madhura,energizing cooling,neutral,decrease,increase
ASC016,Banana milkshake (Kele milkshake),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,nourishing grounding,decrease,decrease,increase
ASC017,Mango milkshake (Aam milkshake),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,cooling sweet tonic,decrease,neutral,increase
ASC018,Pineapple milkshake (Ananas milkshake),amla,guru/snigdha,rajovardhan,sheeta,amla,digestive sweet-sour,decrease,increase,increase
ASC019,Orange milkshake (Narangi milkshake),amla/madhura,guru/snigdha,sattvavardhan,sheeta,amla,refreshing digestive,decrease,neutral,increase
ASC020,Egg nog,madhura,guru/snigdha,tamovardhan,sheeta,madhura,nourishing heavy,decrease,decrease,increase
ASC021,Sweet Lassi (Meethi lassi),madhura,guru/snigdha,sattvavardhan,sheeta,madhura,cooling digestive,decrease,decrease,increase
ASC022,Lassi (salted),lavana,laghu/snigdha,sattvavardhan,sheeta,amla,digestive tonic,decrease,neutral,increase
ASC023,Cheese and chilli sandwich,katu/madhura,guru/snigdha,rajovardhan,ushna,katu,stimulating snack,increase,increase,decrease
ASC024,Egg sandwich (Ande ka sandwich),madhura,guru/snigdha,tamovardhan,ushna,madhura,protein rich,neutral,neutral,increase
ASC025,Cucumber sandwich (Kheere ka sandwich),tikta,laghu/sheeta,sattvavardhan,sheeta,madhura,cooling snack,decrease,decrease,neutral
ASC026,Cheese and pineapple sandwich,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,sweet and tangy,decrease,neutral,increase
ASC027,Cheese and tomato sandwich,amla/madhura,laghu/snigdha,sattvavardhan,sheeta,amla,light nourishing,decrease,decrease,neutral
ASC028,Chicken sandwich,katu,laghu/ushna,rajovardhan,ushna,katu,protein energizing,increase,increase,decrease
ASC029,Peanut and tomato sandwich,madhura/katu,guru/snigdha,rajovardhan,ushna,katu,nutty tasty,increase,neutral,increase
ASC030,Rainbow sandwich,madhura,guru/snigdha,sattvavardhan,sheeta,madhura,variety snack,decrease,decrease,increase
ASC031,Club sandwich,katu/madhura,guru/snigdha,rajovardhan,ushna,katu,hearty snack,increase,neutral,decrease
ASC032,Vegetarian club sandwich,katu/madhura,guru/snigdha,sattvavardhan,sheeta,katu,balanced snack,neutral,decrease,increase
ASC033,Pin wheel sandwich,madhura,laghu/snigdha,sattvavardhan,sheeta,madhura,light appetizer,decrease,decrease,increase
ASC034,Carrot apple sandwich,madhura,laghu/snigdha,sattvavardhan,sheeta,amla,sweet healthy,decrease,neutral,increase
ASC035,Salami sandwich,katu,guru/ushna,rajovardhan,ushna,katu,spicy protein,increase,increase,decrease
ASC036,Vegetable and mayonnaise sandwich,madhura,snigdha/sheeta,sattvavardhan,sheeta,madhura,creamy veggie,neutral,decrease,increase
